Age,Area_Rural,Area_Suburban,Area_Urban,Children,Churn_Yes,Contacts,Contract_Month_To_Month,Contract_One_Year,Contract_Two_Year,CourteousExchange,Deviceprotection_Yes,Email,EvidenceOfActiveListening,Gender_Female,Gender_Male,Gender_Nonbinary,Income,Internetservice_Dsl,Internetservice_Fiber_Optic,Internetservice_None,Marital_Divorced,Marital_Married,Marital_Never_Married,Marital_Separated,Marital_Widowed,MonthlyCharge,Multiple_Yes,Onlinebackup_Yes,Onlinesecurity_Yes,Options,Outage_Sec_Perweek,Paperlessbilling_Yes,Paymentmethod_Bank_Transfer(Automatic),Paymentmethod_Credit_Card_(Automatic),Paymentmethod_Electronic_Check,Paymentmethod_Mailed_Check,Phone_Yes,Population,Port_Modem_Yes,Reliability,RespectfulResponse,Streamingmovies_Yes,Streamingtv_Yes,Tablet_Yes,Techie_Yes,Techsupport_Yes,Tenure,TimelyFixes,TimelyReplacements,TimelyResponse,Yearly_Equip_Failure,Bandwidth_GB_Year
22,1,0,0,8,1,0,0,1,0,6,1,18,3,1,0,0,7434.02,1,0,0,0,0,0,1,0,255.1336,1,1,0,3,14.35718,0,0,1,0,0,1,6295,0,4,5,1,1,1,0,0,21.12911,4,4,4,0,3186.79335
77,0,0,1,1,0,2,0,1,0,2,1,11,2,1,0,0,54980.0,0,1,0,0,0,1,0,0,220.1323,0,0,0,4,6.364855,1,0,0,1,0,1,879,0,2,3,1,1,0,0,0,63.12959,4,2,4,0,5652.969156
26,0,0,1,2,0,0,0,1,0,3,0,12,4,1,0,0,17602.49,1,0,0,0,0,0,0,1,139.9349,0,1,0,4,7.880869,1,1,0,0,0,1,7175,1,4,3,0,1,0,0,0,63.28674,3,5,3,0,6024.715109
44,0,0,1,1,0,0,1,0,0,3,0,8,3,1,0,0,79358.93,1,0,0,0,1,0,0,0,114.9509,0,1,0,4,5.826774,1,0,0,1,0,1,25086,0,5,4,0,0,0,0,0,17.55118,4,3,2,1,1991.629188
22,0,0,1,1,0,1,1,0,0,4,0,12,2,1,0,0,15380.9,1,0,0,1,0,0,0,0,127.460067,0,1,0,3,8.535578793,1,0,0,0,1,1,23666,0,3,3,0,0,1,0,1,6.417132666,4,4,4,2,1155.782468
56,0,1,0,4,0,1,0,0,1,2,0,11,4,1,0,0,51834.27,0,0,1,0,0,0,1,0,112.4844,1,0,0,4,8.372112,0,0,1,0,0,1,1730,0,3,3,0,0,0,0,0,46.38454,3,3,3,0,3971.648787
47,0,0,1,5,0,2,1,0,0,3,0,11,3,0,1,0,4986.92,0,1,0,0,0,1,0,0,112.4551,0,0,0,3,7.853321,0,0,1,0,0,1,3223,0,4,4,0,0,0,0,0,52.39253,2,3,3,0,4534.558824
83,0,0,1,3,0,3,0,1,0,3,1,15,3,1,0,0,22660.2,0,0,1,0,0,1,0,0,185.007692,1,1,1,4,8.420992898,0,0,0,1,0,1,17701,1,2,3,1,0,0,0,0,7.000993555,3,3,3,1,1039.357983
27,1,0,0,3,0,1,1,0,0,4,1,10,4,1,0,0,46593.83,0,1,0,0,0,0,1,0,127.4958,0,0,1,3,10.52806,0,0,0,0,1,1,2945,0,4,4,0,0,1,0,0,61.95264,3,4,4,0,5399.959925
73,1,0,0,2,0,1,0,0,1,4,1,16,4,0,0,1,19534.42,0,1,0,0,0,1,0,0,184.978458,0,1,1,5,7.519178592,1,0,0,1,0,1,809,1,4,4,1,0,1,1,0,10.27742832,4,4,4,1,1234.044483
37,1,0,0,1,0,1,0,1,0,2,0,10,5,1,0,0,28711.17,0,1,0,0,0,0,1,0,192.4404,1,1,0,3,8.567386,1,0,0,1,0,1,146,0,4,3,0,1,1,0,0,61.51366,4,5,4,0,5471.040392
76,0,1,0,3,0,0,1,0,0,3,0,13,2,0,1,0,62939.99,0,1,0,0,1,0,0,0,179.9476,1,0,0,5,8.593968,1,1,0,0,0,1,255,0,2,4,1,0,1,1,0,62.96952,4,3,3,0,5476.19566
19,0,1,0,1,1,0,0,0,1,2,0,8,3,1,0,0,37461.63,0,1,0,0,0,0,1,0,262.6106,1,1,0,5,9.424779,1,0,1,0,0,1,2678,1,2,3,1,1,0,0,0,14.31807,4,5,5,0,1924.414895
82,1,0,0,0,0,0,1,0,0,4,1,9,3,1,0,0,50637.25,0,1,0,0,0,0,1,0,227.4754,1,1,0,4,5.408724,1,0,0,1,0,1,19556,0,3,4,1,0,0,0,1,48.01685,3,5,4,0,4240.153662
24,0,1,0,0,0,1,0,1,0,3,0,14,5,1,0,0,17280.46,1,0,0,0,0,0,1,0,159.9476,1,0,0,4,9.980935,0,0,0,0,1,0,13384,0,3,4,1,0,0,0,0,51.27317,3,4,3,0,4927.165029
30,0,1,0,1,0,1,1,0,0,5,1,15,5,0,1,0,51136.82,0,1,0,0,0,1,0,0,140.0049,0,0,1,5,4.791388,1,0,0,0,1,1,62429,0,2,4,0,0,1,0,1,2.333094,4,5,6,0,530.0667964
22,0,1,0,0,0,1,1,0,0,5,0,12,4,0,1,0,80295.4,1,0,0,0,0,0,0,1,152.4624,1,0,1,3,13.35703,0,0,0,1,0,1,12577,0,5,4,0,1,0,1,0,57.27176,5,6,6,1,5583.623978
73,0,1,0,0,0,1,1,0,0,4,0,12,4,0,1,0,9950.46,0,1,0,1,0,0,0,0,210.127,0,0,1,4,9.093379,0,0,0,1,0,1,1509,0,4,3,1,1,1,0,0,52.59645,5,4,4,0,4809.347606
50,0,1,0,0,1,1,0,0,1,4,1,10,3,0,1,0,4191.82,0,0,1,0,0,0,1,0,220.1615,1,0,0,3,7.351756,0,0,0,1,0,1,25244,0,5,4,1,1,0,0,0,1.280342,5,5,4,0,761.9185367
79,0,0,1,3,0,1,0,0,1,4,1,11,5,0,1,0,60345.9,0,0,1,0,0,1,0,0,127.488728,0,0,0,3,8.798065013,1,0,1,0,0,1,3264,1,4,4,1,0,0,0,0,5.548652108,4,4,4,0,774.6125757
61,1,0,0,1,0,4,0,0,1,4,0,9,4,0,1,0,81068.69,0,1,0,0,0,0,0,1,139.9568,0,0,1,4,9.040251,0,1,0,0,0,1,24613,0,4,5,0,1,0,0,0,23.08203,3,4,3,0,2199.664389
77,0,1,0,1,1,0,0,0,1,4,0,11,3,1,0,0,11290.67,1,0,0,0,0,1,0,0,187.46728,1,1,1,3,13.48138957,0,0,1,0,0,1,182,0,5,3,0,1,1,0,1,5.497366828,5,5,4,1,1243.061143
82,1,0,0,0,1,4,1,0,0,2,1,13,3,1,0,0,14510.63,1,0,0,1,0,0,0,0,200.1323,0,0,0,4,11.54422,0,0,0,0,1,1,1414,1,3,2,1,1,0,0,0,47.77384,1,2,1,0,4761.06852
85,1,0,0,0,0,1,1,0,0,3,1,13,5,1,0,0,19354.83,0,1,0,1,0,0,0,0,242.6281,0,1,0,4,6.473077,0,0,1,0,0,1,471,0,3,3,1,1,0,0,0,60.81561,4,5,4,0,5500.343313
81,0,0,1,4,0,0,1,0,0,4,0,7,4,1,0,0,1441.97,1,0,0,0,0,1,0,0,127.478341,1,0,1,3,11.28908676,1,1,0,0,0,1,26057,0,3,4,0,0,0,0,0,8.006997906,3,4,4,1,1233.807825
19,1,0,0,3,1,1,1,0,0,2,0,7,4,0,1,0,41311.01,0,0,1,0,0,0,0,1,210.156274,1,0,1,2,6.680449508,0,0,0,0,1,0,559,0,6,4,1,1,1,0,0,4.06047424,1,2,1,0,1173.76564
21,0,0,1,5,0,1,1,0,0,2,0,14,4,0,1,0,21326.64,1,0,0,1,0,0,0,0,164.9647,0,1,1,5,7.405549,0,0,1,0,0,1,29490,1,3,3,1,0,0,0,1,58.51928,3,3,3,0,5868.506672
74,0,1,0,6,0,0,1,0,0,5,0,10,5,1,0,0,14489.08,1,0,0,0,0,0,1,0,162.4538,1,0,0,2,9.695557,0,0,0,1,0,1,1241,1,4,5,0,1,0,0,1,69.86292,4,4,5,0,6511.601292
38,0,0,1,1,0,3,0,0,1,2,1,14,4,0,1,0,29203.34,0,1,0,0,0,0,0,1,204.9634,1,1,0,5,11.19239,1,0,0,1,0,1,3481,0,4,2,0,1,0,0,0,58.57706,3,4,3,0,5359.342819
49,1,0,0,1,0,1,1,0,0,4,0,12,3,0,1,0,30403.75,0,1,0,0,1,0,0,0,162.4526,0,1,1,5,12.11743,0,1,0,0,0,1,422,0,3,2,0,1,1,1,0,67.28603,5,4,3,0,5954.978524
56,1,0,0,3,1,1,1,0,0,3,1,12,3,0,1,0,35939.37,0,0,1,0,0,0,1,0,139.99789,0,0,0,4,12.48417719,1,0,1,0,0,1,19151,0,1,3,1,0,0,0,1,1.502124145,4,3,3,0,522.7806578
34,0,1,0,1,0,2,1,0,0,4,1,15,4,1,0,0,25206.38,1,0,0,0,0,0,1,0,162.4676,1,0,0,3,7.205236,1,0,0,1,0,1,4689,0,4,3,0,1,0,0,0,70.33975,4,5,5,0,6608.716989
51,1,0,0,1,0,1,1,0,0,3,1,10,4,1,0,0,87206.32,0,0,1,0,1,0,0,0,152.5022,0,1,1,5,12.65671,0,0,0,0,1,1,2333,1,3,3,1,0,0,0,0,61.3125,4,3,4,0,5460.921432
31,1,0,0,3,0,0,1,0,0,1,0,15,3,0,1,0,15481.94,1,0,0,0,0,0,0,1,117.4392,0,0,0,3,2.476131,1,0,0,1,0,1,259,0,3,5,0,1,0,0,0,60.87178,4,3,4,0,5794.294165
64,0,1,0,10,0,1,0,1,0,3,0,11,3,1,0,0,60462.14,0,0,1,0,0,0,0,1,197.6288,0,1,0,4,11.75314,1,0,0,1,0,0,1407,0,3,3,1,1,0,0,0,36.26479,3,4,5,0,3780.253613
76,0,0,1,1,1,1,0,1,0,3,0,14,3,1,0,0,29459.16,0,1,0,0,0,0,1,0,275.119794,1,1,0,2,8.157311089,1,0,1,0,0,1,172,1,5,3,1,1,0,1,1,3.196943016,3,4,4,1,830.61429
41,0,0,1,3,1,1,1,0,0,1,0,6,1,1,0,0,17888.07,1,0,0,0,0,0,0,1,129.948316,0,0,0,4,14.62580855,1,0,1,0,0,0,911,1,3,3,0,1,0,0,1,2.495010749,3,3,2,0,935.5106086
53,1,0,0,4,0,1,0,1,0,2,0,12,3,0,1,0,35950.39,1,0,0,0,0,0,0,1,127.4421,0,0,0,5,8.081922,0,0,0,1,0,1,738,0,2,4,1,0,1,0,0,59.60557,5,4,4,0,5648.297688
49,0,0,1,2,1,0,1,0,0,5,0,13,4,0,1,0,25048.77,0,1,0,1,0,0,0,0,242.61428,0,1,0,4,12.2507651,1,0,1,0,0,1,1665,0,5,5,1,1,1,0,1,14.98166868,5,5,4,0,1890.640168
78,0,1,0,3,0,1,0,1,0,3,0,15,5,0,0,1,60256.74,0,1,0,0,1,0,0,0,275.1198,1,1,0,5,8.059137,1,0,0,0,1,1,4971,1,3,5,1,1,1,0,1,55.26536,5,5,5,0,5112.939726
50,0,0,1,4,0,1,1,0,0,4,0,15,3,0,1,0,47993.85,0,1,0,1,0,0,0,0,232.6228,0,1,1,4,11.84692,1,0,0,1,0,1,9131,0,2,3,1,1,0,1,0,63.80215,6,4,4,1,6020.055985
57,0,1,0,1,0,1,0,0,1,4,0,5,5,0,1,0,47658.35,0,0,1,0,0,0,1,0,137.4684,1,0,0,2,12.01031,1,0,0,1,0,1,1507,0,6,4,0,1,1,0,0,62.88109,4,4,4,0,5470.575506
64,0,0,1,3,0,3,1,0,0,4,0,8,4,0,1,0,52153.53,0,1,0,1,0,0,0,0,204.961,1,1,1,3,9.89943,0,0,0,0,1,1,26809,0,3,4,1,0,1,0,0,62.86179,4,3,3,0,5675.905105
21,0,0,1,6,0,0,0,0,1,4,1,10,3,1,0,0,43308.59,0,1,0,0,0,1,0,0,164.9889,0,0,1,3,8.898668,1,0,1,0,0,0,4242,0,3,4,0,1,1,0,1,49.76373,4,3,4,0,4713.388987
28,1,0,0,4,1,1,0,1,0,5,0,13,3,1,0,0,77751.56,0,1,0,0,0,0,1,0,252.624,1,0,0,4,9.30537,0,0,0,1,0,1,872,1,2,5,1,1,0,1,1,2.657783,4,6,6,0,942.1751694
52,1,0,0,3,0,3,1,0,0,2,0,16,3,1,0,0,39800.89,0,1,0,0,0,1,0,0,192.4404,1,1,0,3,14.37339,0,0,0,0,1,1,5012,0,2,3,0,1,1,0,0,38.54459,3,1,3,0,3601.393455
88,1,0,0,0,1,0,1,0,0,3,0,16,4,0,1,0,46988.4,0,1,0,0,0,0,1,0,147.442069,0,0,0,3,9.55444436,0,0,0,0,1,1,868,1,5,3,1,0,0,1,0,1.650263525,4,5,5,0,248.179366
62,1,0,0,2,0,0,1,0,0,2,1,11,2,0,1,0,14744.09,0,1,0,0,0,0,1,0,217.4725,1,1,0,4,9.358337,1,0,1,0,0,1,1010,0,3,4,0,1,1,0,1,66.9541,1,2,1,0,6002.159687
70,0,1,0,3,1,0,1,0,0,3,1,11,3,1,0,0,10964.73,0,1,0,0,1,0,0,0,265.146969,1,0,0,4,6.194985909,1,1,0,0,0,1,38476,1,4,3,1,1,0,0,1,4.471254161,3,2,3,1,1007.425553
27,1,0,0,3,1,2,1,0,0,4,0,7,3,1,0,0,31006.39,1,0,0,0,0,1,0,0,197.470195,1,1,1,4,14.35467948,0,0,0,0,1,1,1165,1,4,5,1,0,0,0,1,22.76986341,4,3,4,0,2847.700412
62,1,0,0,2,0,1,1,0,0,4,1,10,3,0,1,0,28502.33,0,1,0,1,0,0,0,0,172.47417,0,0,0,3,7.248946018,1,0,1,0,0,1,19869,0,3,3,1,0,0,0,1,16.84928353,4,4,4,2,1729.837284
32,1,0,0,4,0,2,0,1,0,5,1,12,5,0,1,0,36339.45,0,0,1,0,1,0,0,0,125.0073,1,0,0,3,6.172615,1,0,0,0,1,1,9026,0,5,5,0,0,0,0,0,49.85906,4,4,4,0,4502.462771
39,0,1,0,8,0,0,1,0,0,2,0,17,1,0,1,0,57201.39,0,1,0,0,0,0,0,1,159.9512,0,0,0,6,1.882426,1,0,0,1,0,1,72061,1,1,2,1,0,0,1,1,68.98508,2,3,1,0,6176.702519
70,0,1,0,6,0,1,0,0,1,3,1,16,3,0,1,0,23803.0,0,1,0,0,0,1,0,0,204.9634,1,1,0,2,7.350413,0,0,0,0,1,1,0,0,4,3,0,1,0,0,0,7.03957,3,3,2,0,1185.478786
77,0,0,1,1,0,2,1,0,0,3,0,9,4,0,1,0,24934.12,0,0,1,0,0,1,0,0,117.4835,0,0,1,5,7.006661,0,0,0,1,0,1,21833,1,3,3,1,0,0,1,0,71.3386,3,3,3,1,6100.344382
51,0,1,0,3,0,5,0,1,0,3,1,11,5,1,0,0,75454.23,0,1,0,0,1,0,0,0,182.4608,0,1,0,4,6.579744,0,0,0,1,0,1,587,0,5,4,1,0,0,0,0,64.95028,3,4,3,1,5745.359728
58,1,0,0,0,1,3,1,0,0,2,1,9,2,0,1,0,58324.01,0,1,0,0,1,0,0,0,149.962093,0,0,0,3,12.35356432,1,0,0,1,0,1,2780,0,4,4,0,1,1,1,0,6.396338897,3,3,2,2,821.4684599
89,0,0,1,2,1,1,0,0,1,4,1,10,4,0,1,0,15207.5,1,0,0,0,0,0,1,0,255.1336,1,1,0,6,8.795566,0,1,0,0,0,0,861,1,2,3,1,1,0,0,0,10.70911,4,2,3,0,1975.678599
31,0,1,0,4,0,1,0,1,0,3,1,7,3,0,1,0,113641.2,0,1,0,1,0,0,0,0,182.4608,0,1,0,2,11.60655,1,0,0,0,1,1,322,0,4,5,1,0,0,1,0,6.249599,3,3,4,0,1114.196033
27,1,0,0,1,0,1,0,1,0,6,0,17,5,1,0,0,30943.33,0,0,1,1,0,0,0,0,230.1344,1,1,0,4,16.9392,1,0,1,0,0,1,540,1,2,3,1,1,1,1,0,57.91581,6,6,7,0,5470.490324
79,0,1,0,4,0,0,0,0,1,3,0,12,4,1,0,0,38645.01,1,0,0,0,1,0,0,0,149.9447,1,0,0,4,11.37166,1,0,0,0,1,1,60,0,2,3,0,1,0,0,0,64.37976,3,3,3,0,5980.037893
52,0,1,0,4,1,0,1,0,0,3,1,13,3,1,0,0,78085.72,1,0,0,1,0,0,0,0,127.473844,0,1,0,3,7.372127002,1,1,0,0,0,1,494,0,3,2,0,0,0,0,0,2.552193205,1,2,1,0,913.9152886
44,0,1,0,4,0,0,0,1,0,4,0,10,3,1,0,0,7966.08,1,0,0,0,0,0,0,1,107.481989,0,0,1,3,10.38958279,1,1,0,0,0,1,6633,1,3,3,0,0,0,0,1,1.929621761,3,5,5,0,789.5226439
32,0,0,1,2,0,0,0,1,0,1,1,6,2,0,1,0,81622.91,0,0,1,0,0,0,1,0,200.165175,0,0,0,4,9.04153153,1,0,1,0,0,0,534,1,4,2,1,1,0,0,1,12.48678964,2,4,2,1,1733.107782
81,1,0,0,4,0,0,0,1,0,2,1,13,2,0,1,0,29527.2,0,0,1,1,0,0,0,0,152.509013,1,0,1,3,11.13463155,0,0,0,1,0,1,263,1,5,4,0,1,0,0,0,9.618627021,2,1,2,0,1280.37995
86,0,1,0,1,0,1,0,0,1,6,0,7,4,0,1,0,67676.16,0,1,0,0,0,0,1,0,124.9643,0,0,0,2,7.744833,1,1,0,0,0,1,3576,1,4,4,0,0,0,0,1,70.09961,3,4,4,0,5738.755668
59,0,1,0,3,0,1,1,0,0,4,1,15,6,1,0,0,27782.86,0,0,1,0,1,0,0,0,210.1518,0,1,0,2,10.75626,1,0,0,1,0,1,961,1,5,5,1,1,0,0,0,70.52836,5,4,5,1,6473.783327
49,1,0,0,4,0,1,1,0,0,4,1,11,3,0,0,1,57260.25,0,1,0,0,0,1,0,0,184.9785,0,1,1,4,9.913697,1,1,0,0,0,1,95,1,2,4,1,0,1,0,0,7.481549,5,4,4,0,1145.212837
31,0,1,0,4,1,0,1,0,0,4,0,11,2,0,1,0,48925.7,0,1,0,0,1,0,0,0,222.636202,0,0,1,3,8.86985406,1,1,0,0,0,1,39624,0,3,3,1,1,0,0,1,19.02547148,2,2,3,1,2323.778584
22,0,0,1,4,1,1,0,0,1,3,1,16,4,1,0,0,9729.44,1,0,0,0,0,0,0,1,184.979684,1,0,0,2,11.7174619,0,1,0,0,0,1,18731,0,5,3,1,0,0,0,1,3.778575882,4,3,3,0,1254.725693
59,0,1,0,1,1,0,1,0,0,3,1,11,5,1,0,0,23804.97,0,0,1,0,0,1,0,0,210.1518,0,1,0,2,10.1896,1,0,1,0,0,0,7011,1,5,6,1,1,0,1,0,1.110729,5,4,4,0,724.2830732
30,0,0,1,0,0,0,1,0,0,2,0,9,3,0,1,0,146544.6,0,0,1,0,0,0,0,1,129.9926,0,0,1,3,12.10445,1,0,1,0,0,0,20604,0,4,3,1,0,0,0,1,67.66242,2,2,2,0,5926.760477
50,1,0,0,0,0,1,1,0,0,4,0,12,4,0,1,0,20931.13,0,0,1,0,0,0,0,1,104.9629,0,0,0,4,11.41193,1,1,0,0,0,1,154,1,3,5,0,1,0,0,0,2.110607,5,5,6,1,411.3879952
81,1,0,0,0,0,0,0,0,1,4,0,8,3,1,0,0,58049.87,0,1,0,0,1,0,0,0,172.4624,1,0,1,3,12.01958,1,1,0,0,0,1,4634,1,3,5,0,1,1,0,0,1.835564,4,4,4,0,387.3140839
61,0,0,1,2,0,2,1,0,0,4,1,11,6,0,1,0,56915.0,1,0,0,0,1,0,0,0,184.9634,1,1,0,5,9.41287,0,1,0,0,0,1,8683,0,3,4,0,1,0,0,0,54.04107,4,4,5,0,5356.543952
59,0,0,1,0,1,1,1,0,0,5,0,5,4,0,1,0,34326.31,1,0,0,1,0,0,0,0,162.4538,1,0,0,4,11.16606,0,0,0,1,0,1,2238,0,2,2,0,1,1,0,1,57.54686,3,3,3,0,5413.975477
35,1,0,0,4,0,1,1,0,0,4,0,16,5,0,1,0,8094.06,0,0,1,0,1,0,0,0,102.4746,0,1,0,4,13.17715,1,0,0,1,0,1,286,1,3,4,0,0,1,0,0,64.91211,4,3,4,1,5662.934771
29,1,0,0,0,0,0,1,0,0,4,1,10,4,1,0,0,41658.22,1,0,0,0,1,0,0,0,137.4836,1,0,0,4,12.06193,0,0,0,0,1,1,8368,1,3,4,0,0,0,0,0,23.9038,4,5,3,0,2593.650846
21,0,0,1,2,0,2,1,0,0,4,0,9,3,1,0,0,45551.32,1,0,0,0,1,0,0,0,172.4567,1,0,0,4,9.169596,0,0,0,0,1,1,2738,0,3,3,1,0,1,0,1,50.69979,3,4,3,1,4955.912119
72,1,0,0,0,1,0,1,0,0,4,0,9,6,1,0,0,37340.2,1,0,0,0,0,0,1,0,172.440432,1,1,0,3,11.06857815,1,0,0,1,0,1,822,0,4,5,0,1,0,1,0,2.010811355,4,5,5,0,863.4623731
60,0,0,1,4,0,1,0,0,1,4,1,15,4,0,1,0,90889.4,0,0,1,0,0,1,0,0,242.657291,1,1,0,4,12.04083843,1,1,0,0,0,1,8002,0,3,4,1,1,0,0,0,23.05042619,4,4,5,0,2730.054658
39,0,1,0,0,0,0,1,0,0,3,1,9,4,0,1,0,49512.78,0,1,0,1,0,0,0,0,184.9853,1,0,1,2,13.87808,0,0,0,0,1,1,10429,0,5,5,0,1,0,0,0,69.50311,3,3,3,2,6201.748972
27,0,0,1,3,0,2,1,0,0,5,1,8,5,1,0,0,16276.54,0,1,0,0,0,0,0,1,229.9931,1,1,1,3,14.7633,0,0,0,0,1,1,1089,1,4,3,1,0,0,0,1,59.9904,4,5,5,0,5569.122833
73,0,0,1,1,0,0,1,0,0,3,0,8,2,1,0,0,55444.24,0,0,1,0,0,0,0,1,137.4978,1,1,1,4,11.17666,0,0,0,1,0,1,9145,1,4,5,0,0,0,0,0,60.95606,4,5,4,0,5186.710991
42,0,0,1,2,0,0,0,0,1,4,1,9,3,0,1,0,83829.32,1,0,0,0,1,0,0,0,137.4836,1,0,0,2,8.890323,1,0,0,1,0,1,16062,1,4,4,0,0,0,1,0,64.25291,4,3,5,0,6001.002897
52,0,0,1,2,1,0,0,1,0,3,0,11,3,0,1,0,13376.86,0,1,0,0,0,0,0,1,214.952509,1,1,0,5,9.973647103,0,0,1,0,0,1,7665,0,2,2,1,0,1,1,1,8.458121948,3,4,3,0,1155.865056
81,1,0,0,0,0,2,1,0,0,4,0,11,3,1,0,0,23156.69,0,0,1,0,1,0,0,0,104.9629,0,0,0,3,15.51451,0,0,1,0,0,1,2824,1,2,3,0,1,1,0,0,8.462764,2,3,3,0,783.1783931
76,0,1,0,1,0,1,0,0,1,3,1,14,3,1,0,0,10037.48,0,1,0,1,0,0,0,0,194.9768,1,0,0,4,6.909566,1,1,0,0,0,0,11897,1,1,1,0,1,0,0,1,59.98863,3,2,3,0,5213.694521
73,0,0,1,5,0,0,1,0,0,2,1,11,2,0,1,0,24437.16,1,0,0,0,0,0,1,0,177.4876,0,1,1,5,13.14335,1,0,1,0,0,1,942,1,2,2,1,0,1,0,1,63.42586,3,3,3,0,6185.198141
78,1,0,0,1,0,2,0,0,1,2,0,10,3,0,1,0,37039.36,0,1,0,1,0,0,0,0,275.1198,1,1,0,4,7.400824,1,1,0,0,0,1,1210,1,4,2,1,1,0,0,1,68.68812,3,3,2,0,6237.31669
51,1,0,0,2,0,1,0,1,0,4,0,11,4,1,0,0,7391.15,0,1,0,0,0,0,1,0,220.1185,0,0,0,3,5.76336,0,0,0,1,0,1,7154,1,5,5,1,1,1,0,1,62.54758,4,4,5,0,5640.487005
44,0,0,1,2,0,1,0,0,1,2,0,9,4,1,0,0,25015.89,0,0,1,0,0,0,0,1,102.4746,0,1,0,3,7.268816,1,1,0,0,0,1,1822,1,5,3,0,0,0,0,0,44.23945,4,2,3,1,3795.698707
32,0,1,0,0,0,0,0,0,1,3,1,9,3,1,0,0,90780.38,1,0,0,0,0,1,0,0,194.9663,1,1,0,5,10.04844,1,0,0,0,1,1,9191,0,3,4,1,0,0,0,0,39.23505,6,5,5,0,4093.69412
21,0,0,1,2,1,2,1,0,0,2,1,8,5,1,0,0,12908.78,1,0,0,0,0,0,1,0,247.664655,1,0,1,5,7.781912069,1,0,0,0,1,1,59191,0,4,2,1,1,1,0,1,2.542844079,2,4,2,0,1467.981883
28,1,0,0,0,0,2,1,0,0,4,0,15,2,0,1,0,57821.02,0,1,0,0,0,0,1,0,139.95684,0,0,1,3,9.20355866,0,0,0,1,0,0,696,0,3,4,0,1,0,0,0,8.915680176,4,3,4,0,1116.314298
55,1,0,0,0,0,2,0,1,0,4,0,14,2,1,0,0,13683.98,0,0,1,1,0,0,0,0,104.9629,0,0,0,2,9.842896,1,0,0,1,0,1,364,1,3,3,0,1,1,0,0,15.02441,3,5,3,0,1406.070492
35,0,0,1,1,1,0,1,0,0,3,0,12,1,1,0,0,3773.39,0,0,1,1,0,0,0,0,207.6386,1,0,0,3,12.66151,1,0,0,0,1,1,1215,0,4,3,1,1,0,0,0,2.488097,1,2,1,1,808.6437867
24,0,0,1,0,0,1,0,1,0,3,1,16,5,1,0,0,40019.17,1,0,0,0,0,1,0,0,127.4738,0,1,0,5,8.978709,0,0,0,0,1,1,1401,0,3,3,0,0,1,1,0,7.409027,3,2,3,0,1280.53691
87,0,0,1,1,0,3,1,0,0,3,0,13,3,1,0,0,100352.4,0,0,1,0,1,0,0,0,114.9838,0,1,0,4,12.43326,1,0,0,1,0,1,3456,0,3,4,0,0,0,0,1,58.66502,4,3,3,0,4810.255665
86,0,1,0,1,1,0,0,0,1,5,0,14,4,1,0,0,44186.7,1,0,0,1,0,0,0,0,162.447,0,1,0,4,16.57893,1,0,1,0,0,1,1712,1,4,2,1,0,1,0,1,3.708394,4,2,3,1,883.6816755
62,0,0,1,0,0,1,0,0,1,4,0,16,3,1,0,0,23332.27,0,1,0,0,0,0,0,1,149.9483,0,0,0,3,12.75014,0,1,0,0,0,1,35840,1,4,3,0,1,0,0,1,67.76579,2,4,3,1,5708.957593
42,1,0,0,6,0,1,0,1,0,4,0,12,3,1,0,0,58187.53,1,0,0,1,0,0,0,0,139.987503,1,0,1,3,8.645688486,1,0,0,1,0,1,1251,1,4,2,0,0,1,0,1,2.684151079,3,4,3,1,991.424632
19,0,1,0,1,1,1,1,0,0,5,1,13,3,0,1,0,48228.96,0,1,0,0,0,0,0,1,242.6281,0,1,0,4,15.47441,1,0,1,0,0,1,73,1,2,4,1,1,0,0,0,13.85765,3,3,4,1,1946.937264
31,1,0,0,0,0,1,1,0,0,4,1,6,4,0,1,0,45148.38,0,1,0,1,0,0,0,0,169.992756,1,0,0,4,15.66367593,0,0,1,0,0,1,285,1,4,3,0,0,0,1,1,7.832238337,3,3,3,0,943.3391244
64,0,0,1,2,0,2,1,0,0,4,1,16,3,0,1,0,7396.95,0,1,0,0,0,0,0,1,152.4798,0,0,1,3,13.51253,1,1,0,0,0,1,633,0,4,3,0,1,0,0,0,9.075014,4,4,3,0,1158.054054
78,0,1,0,5,1,1,1,0,0,5,1,12,4,1,0,0,41521.95,0,0,1,1,0,0,0,0,125.0073,1,0,0,3,8.8086,1,1,0,0,0,1,11158,1,6,4,0,0,0,0,0,6.941165,4,4,5,0,783.5447103
44,1,0,0,0,0,1,1,0,0,4,0,14,5,0,1,0,28020.92,1,0,0,0,0,1,0,0,139.9875,1,0,1,4,9.168597,1,0,0,1,0,1,2405,0,1,3,0,0,0,0,1,7.567398,3,3,3,1,1282.568064
18,0,1,0,10,1,1,1,0,0,4,0,13,3,0,1,0,40174.74,0,1,0,0,1,0,0,0,240.1149,1,0,0,3,11.53912,0,0,0,0,1,1,1024,0,2,4,1,1,0,0,0,53.81991,4,4,4,0,5394.514435
29,0,0,1,2,0,2,0,1,0,2,1,14,5,0,1,0,80683.44,0,1,0,1,0,0,0,0,172.4579,0,1,0,5,11.77618,1,0,1,0,0,1,17989,1,2,3,0,1,1,0,0,58.60767,3,3,4,0,5350.192494
